adsh,tag,ddate,qtrs,value,footnote,cik,name,sic,form
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20241231,4,255000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20241231,4,34000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20241231,4,9000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20241231,4,194000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20241231,4,17000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20241231,4,160000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20241231,4,35000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,280000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,40000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,9000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,211000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,18000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,171000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000004962-26-000080,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,41000000000.0000,,4962,AMERICAN EXPRESS CO,6199,10-K
0000312069-26-000004,MaximumExposureToCreditRisk,20241231,0,2581000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,MaximumExposureToCreditRisk,20251231,0,2198000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,34779000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,91011000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,6617000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,365373000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,17000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,110000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,3285000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,935000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,387366000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,46055000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,890000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,396000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,1000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,10164000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,77357000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,21993000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,67537000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,2783000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,13000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,0.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,9544000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,76705000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,439000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,210184000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,89949000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,12592000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,1410000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,119843000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,686822000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,14542000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,1074188000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,21000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20241231,0,40000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,36952000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,90071000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,7363000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,369293000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,15000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,83000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,4067000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,497000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,391937000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,42947000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,846000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,486000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,0.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,10150000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,93720000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,22644000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,68339000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,2855000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,22000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,0.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,5801000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,71866000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,358000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,229752000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,101062000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,7342000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,1048000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,130532000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,715823000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,10191000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,1107760000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,26000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312069-26-000004,NetExposureToCreditRisk,20251231,0,24000000.0000,,312069,BARCLAYS PLC,6029,20-F
0000312070-26-000006,MaximumExposureToCreditRisk,20241231,0,1039000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,MaximumExposureToCreditRisk,20251231,0,785000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,19749000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,70199000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,7036000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,299575000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,85000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,3764000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,759000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,322787000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,8000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,50100000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,664000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,1000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,338000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,77148000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,23212000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,49604000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,2749000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,12000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,0.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,9544000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,49804000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,438000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,308000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,180365000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,89740000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,12592000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,1076000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,113987000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,586169000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,15226000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20241231,0,908956000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,20527000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,68295000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,7760000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,303256000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,60000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,4578000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,498000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,327159000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,3000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,47350000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,623000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,0.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,404000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,93401000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,23903000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,55017000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,2762000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,14000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,0.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,5801000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,40428000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,360000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,381000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,208544000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,100743000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,7342000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,882000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,124519000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,622453000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,10723000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000312070-26-000006,NetExposureToCreditRisk,20251231,0,949612000000.0000,,312070,BARCLAYS BANK PLC,6029,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20241231,0,49039000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20241231,0,26756000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20241231,0,357239000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20241231,0,5219000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20241231,0,4150000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20241231,0,67786000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20241231,0,10643000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20241231,0,20000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20241231,0,52973000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20241231,0,276225000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20251231,0,47760000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20251231,0,27350000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20251231,0,364879000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20251231,0,7259000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20251231,0,13428000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20251231,0,63346000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20251231,0,6721000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20251231,0,43197000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000352960-26-000012,MaximumExposureToCreditRisk,20251231,0,282509000000.0000,,352960,SWEDISH EXPORT CREDIT CORP /SWED/,6159,20-F
0000353278-26-000012,MaximumExposureToCreditRisk,20241231,0,32634000000.0000,,353278,NOVO NORDISK A S,2834,20-F
0000353278-26-000012,MaximumExposureToCreditRisk,20241231,0,78463000000.0000,,353278,NOVO NORDISK A S,2834,20-F
0000353278-26-000012,MaximumExposureToCreditRisk,20251231,0,33644000000.0000,,353278,NOVO NORDISK A S,2834,20-F
0000353278-26-000012,MaximumExposureToCreditRisk,20251231,0,75834000000.0000,,353278,NOVO NORDISK A S,2834,20-F
0000831001-26-000011,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20241231,4,209000000000.0000,,831001,CITIGROUP INC,6021,10-K
0000831001-26-000011,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20241231,4,493000000000.0000,,831001,CITIGROUP INC,6021,10-K
0000831001-26-000011,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20241231,4,11000000000.0000,,831001,CITIGROUP INC,6021,10-K
0000831001-26-000011,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,287000000000.0000,,831001,CITIGROUP INC,6021,10-K
0000831001-26-000011,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,464000000000.0000,,831001,CITIGROUP INC,6021,10-K
0000831001-26-000011,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,10000000000.0000,,831001,CITIGROUP INC,6021,10-K
